CustomerID,Gender,Age,Annual Income (k$),Spending Score (1-100)
93,Female,31,140,2
94,Female,65,148,23
95,Female,67,87,93
96,Female,38,90,46
97,Female,39,92,73
98,Female,38,148,54
99,Female,61,79,71
100,Male,67,100,93
101,Male,47,48,81
102,Female,56,70,9
103,Female,37,89,70
104,Female,41,17,44
105,Female,40,20,84
106,Female,24,20,74
107,Female,26,16,73
108,Female,18,104,12
109,Female,43,70,97
110,Male,55,110,32
111,Female,55,24,34
112,Male,61,101,83
113,Female,39,84,33
114,Female,61,127,64
115,Male,27,44,48
116,Female,23,142,16
117,Male,34,92,50
118,Female,68,69,23
119,Female,67,63,26
120,Male,55,48,54
121,Female,41,119,44
122,Male,68,36,37
123,Female,27,45,9
124,Male,25,149,94
125,Male,38,119,13
126,Female,23,30,60
127,Female,38,34,80
128,Male,56,57,2
129,Female,41,61,95
130,Female,50,128,60
131,Female,35,33,57
132,Male,45,62,43
133,Male,69,59,19
134,Male,49,101,11
135,Male,29,29,78
136,Male,65,124,47
137,Male,59,110,89
138,Male,44,116,63
139,Male,27,100,7
140,Male,63,95,79
141,Female,69,65,94
142,Male,59,126,31
143,Female,49,29,88
144,Female,59,79,55
145,Female,43,102,25
146,Male,42,90,72
147,Male,28,24,30
148,Male,40,56,36
149,Male,51,109,50
150,Female,69,25,14
151,Male,57,132,29
152,Male,40,139,27
153,Male,46,92,50
154,Male,48,104,36
155,Male,24,22,34
156,Female,57,150,21
157,Male,50,125,38
158,Female,38,72,75
159,Male,19,100,97
160,Female,35,69,79
161,Male,64,136,76
162,Male,50,122,88
163,Female,54,62,50
164,Female,51,146,37
165,Female,37,150,75
166,Male,52,143,19
167,Female,68,61,1
168,Male,67,19,81
169,Male,35,38,40
170,Female,63,32,55
171,Female,41,98,80
172,Male,25,19,26
173,Male,47,44,43
174,Female,61,15,59
175,Female,70,100,51
176,Female,27,96,15
177,Male,40,83,8
178,Male,69,45,94
179,Male,66,105,14
180,Male,28,107,97
181,Male,19,141,7
182,Male,43,30,18
183,Female,53,68,12
184,Male,50,34,2
185,Male,64,96,50
186,Male,30,123,93
187,Female,57,127,21
188,Male,42,31,7
189,Male,21,140,91
190,Female,59,17,12
191,Male,36,31,84
192,Male,35,64,57
193,Male,54,136,78
194,Male,47,104,74
195,Male,36,101,23
196,Female,40,20,30
197,Female,33,69,58
198,Female,18,116,95
199,Male,29,43,52
200,Male,41,125,56
201,Male,51,24,10
202,Female,70,105,19
203,Male,25,43,19
204,Male,35,59,87
205,Female,65,65,59
206,Male,22,115,44
207,Female,43,142,59
208,Female,47,25,96
209,Female,30,96,84
210,Male,36,142,4
211,Male,46,20,97
212,Male,20,81,65
213,Male,43,76,13
214,Male,57,147,67
215,Male,29,42,12
216,Male,19,52,93
217,Female,28,57,55
218,Male,61,131,61
219,Female,45,60,95
220,Male,35,63,41
221,Male,30,53,36
222,Male,54,85,2
223,Female,39,141,22
224,Female,29,15,22
225,Female,19,150,41
226,Female,54,83,95
227,Male,24,44,14
228,Female,43,129,93
229,Male,43,22,35
230,Male,41,127,50
231,Female,29,33,9
232,Female,33,73,96
233,Female,40,93,59
234,Female,57,50,56
235,Female,26,69,91
236,Female,49,58,10
237,Female,32,91,25
238,Female,54,92,45
239,Male,30,115,97
240,Female,22,44,11
241,Female,28,53,9
242,Male,27,27,7
243,Female,69,136,71
244,Male,30,126,34
245,Male,58,59,83
246,Female,70,133,20
247,Male,63,49,89
248,Male,67,21,5
249,Male,32,124,93
250,Male,59,128,55
251,Female,24,65,91
252,Male,57,60,89
253,Female,45,34,15
254,Male,49,110,48
255,Male,52,52,4
256,Male,32,118,78
257,Male,65,46,81
258,Female,53,72,21
259,Female,38,96,80
260,Male,23,64,90
261,Male,18,66,9
262,Female,21,100,66
263,Male,28,129,79
264,Male,61,67,35
265,Male,43,80,88
266,Female,54,131,51
267,Female,40,57,78
268,Female,46,96,37
269,Male,38,78,6
270,Male,65,127,82
271,Female,62,149,86
272,Female,62,68,82
273,Female,66,79,51
274,Female,44,16,66
275,Male,56,146,96
276,Female,57,92,17
277,Male,30,46,65
278,Female,40,114,9
279,Male,33,144,13
280,Female,47,118,100
281,Female,21,103,58
282,Female,57,63,30
283,Female,33,150,31
284,Male,48,101,23
285,Female,70,22,63
286,Male,59,115,28
287,Male,42,30,59
288,Male,61,54,10
289,Male,29,120,89
290,Female,43,41,100
291,Male,54,118,90
292,Male,65,119,26
293,Male,50,49,77
294,Female,45,127,17
295,Female,26,66,40
296,Female,29,67,68
297,Female,22,105,23
298,Male,69,95,35
299,Male,45,118,75
300,Female,52,80,76
301,Male,22,127,9
302,Male,51,45,79
303,Male,63,75,45
304,Female,51,115,37
305,Female,30,119,69
306,Male,56,112,19
307,Female,59,48,75
308,Female,62,73,73
309,Female,65,17,99
310,Female,31,31,27
311,Female,28,92,13
312,Male,59,60,57
313,Female,55,49,60
314,Male,21,143,12
315,Male,70,126,9
316,Female,50,146,92
317,Male,24,75,77
318,Male,58,111,84
319,Male,25,104,77
320,Female,54,150,27
321,Female,68,73,90
322,Male,27,32,63
323,Female,60,109,93
324,Female,32,30,29
325,Female,55,24,22
326,Female,32,118,73
327,Male,22,90,88
328,Male,46,30,19
329,Female,36,26,38
330,Female,68,89,95
331,Male,27,143,39
332,Male,29,41,15
333,Female,21,26,54
334,Male,48,44,32
335,Female,35,23,46
336,Female,33,67,61
337,Male,57,68,93
338,Male,53,63,52
339,Female,42,18,34
340,Female,40,93,73
341,Male,29,105,35
342,Female,51,93,70
343,Male,53,117,37
344,Female,54,125,78
345,Male,20,72,61
346,Male,26,96,49
347,Male,70,146,9
348,Female,35,36,19
349,Female,60,145,87
350,Male,52,93,28
351,Female,51,113,80
352,Male,58,52,26
353,Male,31,131,38
354,Female,21,40,40
355,Female,46,150,25
356,Male,58,64,99
357,Female,62,52,69
358,Female,67,56,71
359,Male,32,51,23
360,Male,45,63,89
361,Female,59,60,65
362,Male,33,43,22
363,Male,29,26,64
364,Female,69,130,68
365,Male,22,96,58
366,Male,51,58,28
367,Female,59,16,78
368,Female,18,31,97
369,Male,56,32,68
370,Male,49,36,75
371,Female,43,97,96
372,Female,34,72,4
373,Female,65,67,1
374,Female,44,15,26
375,Male,41,75,33
376,Female,52,45,81
377,Female,63,80,27
378,Male,59,67,42
379,Female,56,109,69
380,Male,43,37,71
381,Female,66,145,64
382,Female,55,101,25
383,Female,40,139,72
384,Male,39,123,98
385,Male,21,54,4
386,Female,66,135,12
387,Male,26,53,58
388,Male,21,134,95
389,Male,24,32,11
390,Male,40,51,59
391,Male,19,19,36
392,Male,66,87,22
393,Female,41,149,65
394,Female,57,55,50
395,Male,48,24,4
396,Female,64,82,100
397,Female,48,38,72
398,Female,64,92,89
399,Female,57,123,92
400,Male,65,38,52
401,Female,68,21,100
402,Female,60,87,100
403,Male,51,121,43
404,Male,41,113,46
405,Female,66,136,4
406,Female,43,26,13
407,Female,33,99,38
408,Female,64,17,45
409,Female,30,93,25
410,Female,32,99,67
411,Male,44,24,55
412,Female,21,47,96
413,Female,33,60,39
414,Male,47,73,65
415,Male,61,66,75
416,Male,47,20,2
417,Male,53,144,69
418,Female,20,43,86
419,Female,39,133,62
420,Female,66,111,46
421,Female,39,82,77
422,Female,67,74,87
423,Female,67,138,31
424,Male,66,98,99
425,Female,29,55,35
426,Male,38,127,45
427,Male,21,79,77
428,Female,48,93,54
429,Male,61,77,71
430,Female,48,132,69
431,Male,40,51,29
432,Female,70,78,72
433,Male,37,100,8
434,Female,32,147,54
435,Female,40,48,7
436,Female,45,53,83
437,Female,33,81,23
438,Female,54,76,100
439,Male,38,102,32
440,Male,32,145,62
441,Male,34,123,45
442,Female,67,103,68
443,Male,54,81,30
444,Female,30,93,39
445,Female,36,43,5
446,Male,47,88,67
447,Male,62,46,22
448,Female,35,101,28
449,Male,31,53,22
450,Female,53,115,86
451,Female,53,82,98
452,Female,37,42,29
453,Female,69,28,43
454,Female,36,91,42
455,Male,62,130,60
456,Male,61,42,77
457,Female,24,103,71
458,Female,61,46,74
459,Male,70,109,92
460,Male,21,31,68
461,Female,51,131,59
462,Male,19,91,96
463,Female,22,69,86
464,Male,27,24,84
465,Female,49,94,84
466,Male,59,148,6
467,Female,58,130,73
468,Male,30,93,28
469,Male,56,74,77
470,Female,22,56,31
471,Male,27,130,39
472,Female,27,123,50
473,Male,55,85,78
474,Female,44,116,86
475,Male,68,27,37
476,Female,38,29,88
477,Male,25,50,72
478,Female,18,29,15
479,Male,45,131,51
480,Female,66,89,70
481,Female,56,70,23
482,Female,31,109,25
483,Male,38,146,95
484,Female,47,66,46
485,Male,38,98,93
486,Female,66,43,23
487,Male,26,67,10
488,Female,34,35,73
489,Male,22,126,77
490,Male,48,90,32
491,Female,69,44,51
492,Male,57,139,41
493,Male,55,65,65
494,Female,60,92,65
495,Male,36,36,40
496,Male,53,78,18
497,Male,67,35,36
498,Female,50,143,31
499,Male,30,121,54
500,Female,31,130,63
501,Male,50,138,1
502,Male,46,50,52
503,Male,60,61,100
504,Female,66,46,57
505,Male,53,68,9
506,Male,61,37,86
507,Female,27,16,92
508,Male,48,124,90
509,Female,23,138,74
510,Female,18,81,56
511,Male,24,85,47
512,Female,44,43,3
513,Male,38,133,2
514,Female,45,127,54
515,Female,33,59,37
516,Male,63,30,56
517,Female,40,45,31
518,Female,69,64,97
519,Female,37,136,96
520,Female,55,29,12
521,Female,42,63,58
522,Male,45,24,67
523,Female,22,34,26
524,Male,38,84,78
525,Female,35,22,12
526,Male,64,48,90
527,Male,23,18,16
528,Female,46,122,53
529,Female,36,38,72
530,Female,50,69,49
531,Male,18,40,49
532,Female,62,39,92
533,Male,20,50,7
534,Male,59,85,15
535,Male,38,26,36
536,Female,52,143,72
537,Female,58,130,74
538,Male,57,147,15
539,Male,20,97,62
540,Female,42,20,18
541,Male,62,40,46
542,Female,55,127,61
543,Male,62,117,43
544,Female,37,134,44
545,Male,69,23,99
546,Female,61,59,66
547,Male,62,28,55
548,Female,51,126,86
549,Female,38,69,79
550,Male,65,29,39
551,Male,40,51,100
552,Female,23,141,5
553,Male,68,131,57
554,Female,70,98,15
555,Male,30,86,91
556,Female,66,110,16
557,Female,40,125,57
558,Female,26,119,100
559,Female,34,72,82
560,Female,19,109,99
561,Female,36,132,25
562,Male,36,20,22
563,Male,24,18,31
564,Male,59,57,34
565,Female,59,107,87
566,Female,37,56,16
567,Female,26,17,70
568,Female,34,143,59
569,Male,44,29,15
570,Male,64,61,82
571,Female,19,99,13
572,Male,53,72,24
573,Male,36,53,13
574,Female,34,145,65
575,Male,22,49,36
576,Female,56,66,49
577,Male,35,132,82
578,Female,70,28,48
579,Female,24,44,97
580,Female,34,104,43
581,Female,56,149,6
582,Male,53,109,81
583,Female,57,83,68
584,Female,62,141,14
585,Female,21,66,30
586,Male,55,77,84
587,Female,42,50,8
588,Male,22,105,54
589,Female,47,67,66
590,Male,29,123,4
591,Male,21,86,74
592,Female,41,29,84
593,Male,46,127,60
594,Female,26,83,53
595,Female,21,130,99
596,Female,68,18,74
597,Male,41,89,92
598,Male,31,56,15
599,Female,22,44,100
600,Female,35,84,1
601,Male,59,30,22
602,Female,36,125,91
603,Female,29,118,93
604,Female,35,121,15
605,Male,34,137,74
606,Male,47,41,84
607,Male,41,27,22
608,Female,28,87,50
609,Female,52,100,48
610,Female,40,45,73
611,Male,34,17,51
612,Female,18,44,96
613,Female,32,113,17
614,Female,49,148,83
615,Female,26,113,91
616,Male,32,100,51
617,Male,45,78,37
618,Female,41,132,98
619,Male,52,128,49
620,Male,39,101,59
621,Female,44,54,10
622,Female,36,39,30
623,Male,62,109,85
624,Female,29,60,21
625,Male,37,46,34
626,Female,18,111,73
627,Male,38,30,98
628,Female,66,32,50
629,Male,62,150,76
630,Male,18,89,47
631,Male,27,15,85
632,Female,64,139,84
633,Male,49,52,6
634,Male,56,59,50
635,Female,39,95,100
636,Female,35,143,63
637,Male,65,46,12
638,Male,63,150,41
639,Female,49,132,31
640,Female,44,54,2
641,Female,45,88,16
642,Female,35,125,1
643,Female,56,117,4
644,Male,66,117,47
645,Female,46,88,65
646,Male,35,128,52
647,Male,61,137,47
648,Male,25,71,99
649,Female,48,88,77
650,Male,51,97,50
651,Male,24,93,45
652,Female,53,144,42
653,Male,35,107,95
654,Male,55,64,84
655,Female,26,43,56
656,Male,26,95,71
657,Male,63,24,57
658,Male,25,131,33
659,Female,68,74,28
660,Female,52,74,44
661,Female,35,72,56
662,Male,22,59,44
663,Male,31,138,84
664,Female,45,40,96
665,Male,47,116,73
666,Male,21,65,34
667,Female,56,66,14
668,Female,37,65,68
669,Male,42,145,29
670,Male,45,28,79
671,Male,29,15,17
672,Female,19,28,83
673,Female,60,95,9
674,Female,31,17,27
675,Female,39,112,49
676,Male,48,54,79
677,Female,40,103,37
678,Female,65,139,28
679,Female,37,109,50
680,Female,55,23,55
681,Female,21,108,4
682,Male,32,98,85
683,Male,41,35,98
684,Female,42,39,19
685,Male,18,116,37
686,Female,24,136,4
687,Female,48,39,37
688,Male,29,117,51
689,Male,59,71,32
690,Female,22,51,45
691,Female,61,30,12
692,Female,67,51,41
693,Male,59,90,56
694,Female,55,40,80
695,Female,29,34,14
696,Female,56,117,54
697,Male,35,43,63
698,Female,19,45,65
699,Female,27,33,58
700,Male,32,41,96
701,Female,47,108,21
702,Female,61,99,4
703,Male,34,58,73
704,Female,21,127,46
705,Male,24,88,86
706,Male,58,101,12
707,Female,48,108,30
708,Female,68,112,94
709,Female,56,146,96
710,Female,51,70,60
711,Male,23,111,100
712,Female,67,112,71
713,Male,55,48,81
714,Female,62,114,65
715,Female,68,28,14
716,Female,51,126,44
717,Male,61,89,26
718,Female,32,111,91
719,Female,31,135,16
720,Female,23,69,7
721,Female,67,131,32
722,Male,54,107,89
723,Female,67,51,95
724,Male,49,40,16
725,Male,20,81,78
726,Male,20,98,89
727,Male,39,32,62
728,Male,39,41,30
729,Male,27,45,71
730,Female,68,120,12
731,Male,20,143,67
732,Male,29,20,91
733,Male,46,25,46
734,Female,65,32,83
735,Female,34,35,43
736,Male,24,33,55
737,Female,30,18,45
738,Male,19,91,60
739,Male,21,130,71
740,Female,27,39,80
741,Male,56,91,32
742,Female,41,63,8
743,Female,34,79,77
744,Male,69,97,62
745,Male,23,15,75
746,Female,36,95,20
747,Male,22,35,18
748,Male,49,100,6
749,Male,27,29,84
750,Female,26,64,96
751,Female,44,62,29
752,Male,30,63,4
753,Female,36,122,71
754,Female,38,59,43
755,Female,41,46,84
756,Female,55,146,34
757,Female,21,111,100
758,Male,41,94,71
759,Male,52,68,33
760,Male,20,141,15
761,Female,21,148,96
762,Female,54,80,86
763,Male,57,123,40
764,Female,65,37,93
765,Male,52,121,89
766,Male,48,65,5
767,Male,61,86,78
768,Female,42,117,50
769,Female,57,94,99
770,Male,30,32,66
771,Male,21,95,89
772,Male,63,121,54
773,Male,31,83,80
774,Female,30,94,46
775,Female,44,56,80
776,Male,23,48,11
777,Male,34,62,49
778,Female,53,150,99
779,Female,57,19,23
780,Male,66,130,55
781,Male,52,131,5
782,Male,34,122,64
783,Female,58,37,35
784,Female,19,76,93
785,Female,30,27,69
786,Male,69,34,54
787,Male,19,106,3
788,Female,69,122,6
789,Female,45,122,87
790,Male,60,47,56
791,Female,43,78,2
792,Female,39,44,82
793,Male,64,122,94
794,Female,60,87,38
795,Male,20,123,56
796,Male,52,114,5
797,Male,29,28,46
798,Male,41,33,11
799,Male,22,85,65
800,Male,37,73,10
801,Male,56,111,41
802,Female,56,58,44
803,Male,30,125,90
804,Male,58,25,33
805,Female,70,120,91
806,Female,62,16,56
807,Female,29,139,12
808,Male,30,108,2
809,Female,27,107,1
810,Male,50,18,65
811,Male,57,77,33
812,Male,33,43,86
813,Male,62,33,76
814,Female,52,105,36
815,Female,20,43,21
816,Male,22,130,84
817,Male,43,84,36
818,Male,28,137,26
819,Female,24,37,47
820,Male,70,60,95
821,Male,27,22,1
822,Female,59,80,38
823,Female,69,114,14
824,Male,51,75,90
825,Female,20,126,46
826,Female,25,66,42
827,Male,48,50,7
828,Female,28,126,55
829,Male,62,101,56
830,Female,24,99,76
831,Male,62,27,63
832,Male,19,61,24
833,Male,23,104,83
834,Female,58,36,73
835,Male,49,72,99
836,Female,37,44,4
837,Male,51,120,42
838,Male,67,88,96
839,Female,33,108,70
840,Male,42,85,28
841,Male,29,21,92
842,Female,24,79,40
843,Male,56,60,51
844,Male,34,32,29
845,Male,62,22,42
846,Male,28,88,69
847,Female,23,116,5
848,Female,40,93,41
849,Male,44,93,61
850,Female,63,135,55
851,Male,23,77,28
852,Female,55,54,41
853,Male,19,98,9
854,Male,39,29,29
855,Male,37,113,78
856,Male,42,148,38
857,Male,32,135,62
858,Male,66,77,54
859,Female,46,150,52
860,Male,25,142,34
861,Female,54,126,37
862,Male,66,125,49
863,Female,69,46,42
864,Female,50,59,14
865,Female,39,136,82
866,Male,67,96,33
867,Male,64,27,98
868,Female,22,38,92
869,Male,56,28,100
870,Female,35,84,87
871,Male,55,76,17
872,Female,70,134,75
873,Female,54,103,32
874,Male,47,15,79
875,Female,68,140,68
876,Male,48,46,39
877,Female,27,46,94
878,Female,32,70,10
879,Male,59,105,87
880,Male,65,18,24
881,Male,61,37,100
882,Female,35,43,58
883,Male,40,112,69
884,Female,50,44,64
885,Female,33,104,19
886,Male,55,81,8
887,Male,52,115,71
888,Female,51,72,40
889,Female,45,39,13
890,Male,19,37,27
891,Male,47,143,82
892,Male,30,111,88
893,Male,58,142,2
894,Male,33,95,16
895,Female,22,18,14
896,Female,45,149,17
897,Female,70,60,60
898,Female,56,23,70
899,Male,62,47,99
900,Male,37,98,17
901,Male,41,146,45
902,Female,44,79,38
903,Female,47,120,64
904,Male,62,48,6
905,Male,44,99,60
906,Female,43,102,49
907,Female,24,69,21
908,Male,59,31,99
909,Male,64,145,23
910,Female,70,18,76
911,Male,55,21,57
912,Male,22,40,64
913,Male,40,38,29
914,Female,45,24,27
915,Female,51,27,6
916,Female,70,139,21
917,Female,32,53,71
918,Female,49,33,41
919,Female,43,90,80
920,Female,65,66,5
921,Male,48,134,15
922,Male,36,60,21
923,Male,26,89,58
924,Male,46,138,4
925,Male,68,62,69
926,Male,56,76,7
927,Male,21,72,35
928,Female,20,32,36
929,Female,46,122,15
930,Male,69,62,92
931,Male,28,77,2
932,Female,50,26,57
933,Male,55,48,5
934,Male,28,116,71
935,Female,44,101,86
936,Male,50,39,95
937,Female,38,146,32
938,Male,56,63,72
939,Female,48,92,41
940,Female,55,150,42
941,Female,63,69,75
942,Male,19,32,65
943,Female,44,49,40
944,Male,53,21,83
945,Male,28,27,38
946,Male,64,140,42
947,Male,35,126,37
948,Female,18,83,56
949,Female,52,114,71
950,Male,52,104,55
951,Male,48,56,89
952,Female,45,123,54
953,Male,56,124,22
954,Female,18,40,27
955,Male,42,90,47
956,Male,60,46,38
957,Female,55,105,39
958,Male,37,139,15
959,Female,20,140,66
960,Male,68,66,61
961,Male,19,117,60
962,Male,35,119,8
963,Female,61,28,44
964,Male,27,118,43
965,Male,22,131,6
966,Male,26,62,84
967,Male,19,107,27
968,Female,51,124,45
969,Female,55,67,23
970,Male,48,17,81
971,Female,27,82,13
972,Male,67,147,68
973,Male,29,66,84
974,Male,53,110,64
975,Female,38,45,25
976,Female,66,80,86
977,Female,64,105,52
978,Female,23,83,48
979,Female,65,101,61
980,Female,66,47,17
981,Female,20,82,40
982,Female,27,102,75
983,Female,22,109,89
984,Male,63,122,69
985,Female,43,67,85
986,Female,38,88,26
987,Female,62,63,80
988,Female,43,127,56
989,Female,55,128,40
990,Female,61,109,85
991,Female,43,39,96
992,Female,25,146,68
993,Female,22,122,8
994,Female,32,83,73
995,Female,33,98,45
996,Male,18,99,17
997,Male,33,133,41
998,Female,54,86,77
999,Female,20,34,9
1000,Male,69,41,70
1001,Female,64,22,91
1002,Male,48,99,24
1003,Male,30,75,73
1004,Male,33,17,11
1005,Male,60,21,35
1006,Male,38,18,29
1007,Female,19,147,8
1008,Male,44,139,17
1009,Female,55,29,71
1010,Female,43,27,12
1011,Male,55,132,79
1012,Male,63,21,93
1013,Female,42,118,50
1014,Male,28,20,24
1015,Male,25,78,37
1016,Female,25,44,78
1017,Female,50,36,11
1018,Male,70,132,99
1019,Female,24,98,81
1020,Male,55,147,59
1021,Male,38,104,55
1022,Male,25,135,27
1023,Female,68,120,67
1024,Female,38,83,60
1025,Female,37,109,2
1026,Female,25,91,68
1027,Female,63,15,18
1028,Male,48,76,20
1029,Male,67,32,85
1030,Male,46,62,63
1031,Male,65,15,78
1032,Female,26,121,72
1033,Male,32,144,2
1034,Female,47,52,90
1035,Male,43,54,83
1036,Female,27,96,42
1037,Female,46,30,28
1038,Male,33,141,29
1039,Male,53,131,69
1040,Male,37,107,28
1041,Male,62,148,60
1042,Female,54,17,90
1043,Male,39,28,5
1044,Male,24,80,15
1045,Female,40,109,73
1046,Male,58,100,32
1047,Male,57,128,52
1048,Male,46,143,90
1049,Male,33,29,37
1050,Male,55,51,15
1051,Female,45,41,41
1052,Male,65,26,4
1053,Male,55,81,53
1054,Male,48,44,100
1055,Male,31,110,84
1056,Male,70,149,27
1057,Female,50,48,21
1058,Male,26,46,60
1059,Female,44,131,86
1060,Female,41,53,64
1061,Male,30,110,71
1062,Male,43,145,47
1063,Male,46,57,54
1064,Male,68,95,31
1065,Female,66,17,17
1066,Male,60,88,50
1067,Male,45,131,7
1068,Male,45,77,83
1069,Male,25,125,28
1070,Male,40,54,10
1071,Male,46,32,27
1072,Female,22,81,13
1073,Female,59,117,66
1074,Male,24,60,86
1075,Male,59,69,84
1076,Male,53,89,60
1077,Female,58,111,43
1078,Male,44,40,69
1079,Female,63,36,63
1080,Male,19,40,70
1081,Male,42,87,99
1082,Male,26,129,65
1083,Male,70,65,99
1084,Female,44,127,67
1085,Female,18,26,54
1086,Male,40,17,36
1087,Male,27,134,71
1088,Female,59,149,93
1089,Female,69,148,15
1090,Female,42,96,75
1091,Female,20,59,18
1092,Male,23,141,4
1093,Female,23,100,88
1094,Male,70,129,11
1095,Female,19,23,6
1096,Female,35,26,51
1097,Female,40,130,58
1098,Female,19,102,60
1099,Female,29,76,18
1100,Male,39,118,79
1101,Male,54,87,67
1102,Female,37,91,17
1103,Female,56,54,97
1104,Male,41,149,34
1105,Female,65,31,30
1106,Female,37,133,19
1107,Male,18,140,9
1108,Female,18,38,40
1109,Female,34,16,44
1110,Male,18,106,95
1111,Male,70,131,59
1112,Male,69,67,91
1113,Female,62,60,25
1114,Male,47,59,71
1115,Male,58,23,53
1116,Male,64,20,48
1117,Male,20,65,71
1118,Male,63,133,84
1119,Male,28,49,53
1120,Female,41,96,49
1121,Female,39,39,43
1122,Male,61,31,100
1123,Male,62,50,19
1124,Male,43,110,66
1125,Female,30,35,34
1126,Female,18,32,81
1127,Female,41,15,88
1128,Female,27,150,73
1129,Female,52,65,54
1130,Female,41,93,1
1131,Female,45,50,92
1132,Female,53,76,55
1133,Female,33,143,15
1134,Male,57,99,85
1135,Male,33,56,15
1136,Male,34,15,23
1137,Male,68,68,66
1138,Female,32,114,46
1139,Female,33,53,100
1140,Male,32,21,9
1141,Female,51,135,66
1142,Male,28,59,66
1143,Female,18,88,18
1144,Male,32,134,17
1145,Female,43,86,72
1146,Female,68,60,98
1147,Male,21,137,34
1148,Female,60,132,69
1149,Male,22,89,64
1150,Male,52,20,44
1151,Male,30,35,29
1152,Male,27,117,62
1153,Female,28,102,92
1154,Female,35,113,16
1155,Female,51,76,78
1156,Male,56,121,52
1157,Female,58,97,2
1158,Male,59,70,61
1159,Female,67,36,4
1160,Female,40,82,52
1161,Female,24,24,41
1162,Male,56,80,52
1163,Female,20,22,31
1164,Female,29,137,26
1165,Male,24,52,27
1166,Female,66,137,51
1167,Male,43,76,98
1168,Female,50,59,95
1169,Male,54,79,48
1170,Male,65,81,11
1171,Female,32,147,8
1172,Male,19,120,12
1173,Male,58,96,99
1174,Male,24,72,45
1175,Male,49,145,34
1176,Male,21,83,77
1177,Male,37,103,91
1178,Female,67,78,72
1179,Male,70,86,47
1180,Male,53,31,21
1181,Female,49,87,41
1182,Female,45,84,75
1183,Female,30,127,22
1184,Female,18,35,21
1185,Female,52,149,28
1186,Female,65,21,67
1187,Female,47,125,71
1188,Male,53,41,14
1189,Male,42,22,79
1190,Female,33,42,73
1191,Male,36,61,52
1192,Male,18,100,43
1193,Male,22,24,71
1194,Female,68,128,76
1195,Female,39,47,19
1196,Male,41,149,27
1197,Female,60,145,18
1198,Male,62,28,13
1199,Male,69,60,1
1200,Male,54,75,85
1201,Male,70,27,34
1202,Female,53,30,13
1203,Female,53,147,51
1204,Female,21,52,87
1205,Male,53,52,1
1206,Female,69,117,87
1207,Male,70,70,28
1208,Female,35,77,32
1209,Male,67,134,72
1210,Male,33,62,55
1211,Male,58,119,26
1212,Female,35,73,14
1213,Female,39,91,88
1214,Female,19,141,93
1215,Female,38,69,68
1216,Male,53,69,63
1217,Female,61,143,82
1218,Female,56,150,14
1219,Male,64,141,27
1220,Male,56,146,41
1221,Male,46,99,3
1222,Female,43,129,94
1223,Male,38,72,59
1224,Male,34,51,100
1225,Male,33,63,23
1226,Female,48,81,18
1227,Male,68,33,74
1228,Female,26,143,76
1229,Female,48,43,41
1230,Male,31,101,8
1231,Male,66,47,32
1232,Female,54,133,81
1233,Male,19,147,41
1234,Male,69,85,45
1235,Female,65,148,78
1236,Female,63,36,9
1237,Male,31,91,90
1238,Female,50,18,48
1239,Male,52,86,24
1240,Male,56,142,87
1241,Male,64,59,95
1242,Female,68,150,44
1243,Male,37,107,58
1244,Male,19,19,66
